"experiment_id","subnetwork_id","role","node_id","source_id","esinr_db","kl_distance"
"1","1","Anchor","12","1","10.93","0.0000"
"1","1","Member","6","1","6.25","0.7945"
"1","1","Member","9","1","8.19","1.5068"
"1","1","Member","13","1","7.75","1.4770"
"1","2","Anchor","15","3","9.93","0.0000"
"1","2","Member","14","3","9.19","2.0020"
"1","2","Member","17","3","8.57","1.2915"
"1","2","Member","18","3","8.55","1.3668"
"1","3","Anchor","5","2","8.44","0.0000"
"1","3","Member","4","2","7.14","0.7280"
"1","3","Member","7","2","8.39","0.7752"
"1","3","Member","8","2","6.11","1.1813"
"2","1","Anchor","15","3","9.56","0.0000"
"2","1","Member","14","3","8.30","0.9643"
"2","1","Member","17","3","8.56","0.5005"
"2","1","Member","18","3","8.05","1.5348"
"2","2","Anchor","9","1","8.75","0.0000"
"2","2","Member","6","1","6.40","1.3387"
"2","2","Member","12","1","7.00","2.2767"
"2","2","Member","13","1","8.65","1.5768"
"2","3","Anchor","5","2","7.59","0.0000"
"2","3","Member","7","2","6.50","2.3065"
"2","3","Member","8","2","6.16","1.2915"
"3","1","Anchor","5","2","9.45","0.0000"
"3","1","Member","4","2","7.84","0.8645"
"3","1","Member","7","2","8.92","0.2293"
"3","1","Member","8","2","7.79","0.6248"
"3","2","Anchor","15","3","8.66","0.0000"
"3","2","Member","14","3","7.43","1.3860"
"3","2","Member","17","3","6.85","0.6860"
"3","2","Member","18","3","7.23","1.6013"
"3","3","Anchor","12","1","8.42","0.0000"
"3","3","Member","6","1","7.93","1.7692"
"3","3","Member","9","1","7.62","2.1262"
"4","1","Anchor","15","3","10.00","0.0000"
"4","1","Member","14","3","7.87","0.3098"
"4","1","Member","17","3","7.39","0.6002"
"4","1","Member","18","3","7.54","0.8908"
"4","2","Anchor","5","2","8.80","0.0000"
"4","2","Member","4","2","6.81","1.0360"
"4","2","Member","7","2","8.31","1.1235"
"4","2","Member","8","2","6.74","1.0868"
"4","3","Anchor","9","1","8.32","0.0000"
"4","3","Member","6","1","7.57","1.3842"
"4","3","Member","12","1","7.00","1.6380"
"5","1","Anchor","15","3","11.30","0.0000"
"5","1","Member","18","3","9.96","2.6967"
"5","1","Member","17","3","8.98","2.4605"
"5","1","Member","14","3","10.92","2.8315"
"5","2","Anchor","12","1","10.46","0.0000"
"5","2","Member","13","1","8.47","1.4700"
"5","2","Member","6","1","9.60","1.7605"
"5","2","Member","9","1","8.01","2.7510"
"5","3","Anchor","5","2","9.58","0.0000"
"5","3","Member","7","2","8.72","1.5890"
"5","3","Member","8","2","7.73","0.9310"
"6","1","Anchor","5","2","11.61","0.0000"
"6","1","Member","8","2","10.15","1.3650"
"6","1","Member","7","2","10.63","2.5183"
"6","2","Anchor","15","3","10.57","0.0000"
"6","2","Member","17","3","9.28","1.1585"
"6","2","Member","18","3","7.11","1.9670"
"6","2","Member","14","3","8.78","1.6643"
"6","3","Anchor","12","1","9.75","0.0000"
"6","3","Member","6","1","8.24","2.6127"
"6","3","Member","9","1","8.28","1.2583"
"6","3","Member","13","1","8.91","2.8840"
"7","1","Anchor","12","1","11.13","0.0000"
"7","1","Member","13","1","6.75","2.3922"
"7","1","Member","9","1","7.14","2.6320"
"7","1","Member","6","1","8.66","1.0517"
"7","2","Anchor","15","3","10.34","0.0000"
"7","2","Member","18","3","8.21","1.8357"
"7","2","Member","14","3","8.65","2.4762"
"7","2","Member","17","3","9.51","0.8645"
"7","3","Anchor","5","2","9.20","0.0000"
"7","3","Member","7","2","7.20","2.5025"
"7","3","Member","8","2","7.06","2.2435"
"8","1","Anchor","15","3","11.13","0.0000"
"8","1","Member","17","3","7.89","2.8752"
"8","1","Member","14","3","10.54","1.1235"
"8","1","Member","18","3","9.94","0.6982"
"8","2","Anchor","5","2","10.27","0.0000"
"8","2","Member","8","2","8.45","2.0248"
"8","2","Member","7","2","9.19","0.8732"
"8","3","Anchor","12","1","9.21","0.0000"
"8","3","Member","13","1","8.38","1.6485"
"8","3","Member","9","1","7.75","1.8760"
"8","3","Member","6","1","8.05","2.5987"
"9","1","Anchor","5","2","11.16","0.0000"
"9","1","Member","8","2","9.85","1.2932"
"9","1","Member","7","2","9.60","2.3135"
"9","2","Anchor","12","1","10.09","0.0000"
"9","2","Member","13","1","8.80","1.2897"
"9","2","Member","6","1","6.36","1.8130"
"9","2","Member","9","1","7.62","1.9530"
"9","3","Anchor","15","3","9.18","0.0000"
"9","3","Member","18","3","7.86","2.8367"
"9","3","Member","17","3","7.88","2.6775"
"9","3","Member","14","3","6.81","1.7448"
"10","1","Anchor","12","1","11.36","0.0000"
"10","1","Member","13","1","10.02","2.7913"
"10","1","Member","9","1","7.04","1.7185"
"10","1","Member","6","1","10.42","1.7150"
"10","2","Anchor","5","2","10.29","0.0000"
"10","2","Member","7","2","7.85","1.9897"
"10","2","Member","8","2","8.14","2.3240"
"10","3","Anchor","15","3","9.41","0.0000"
"10","3","Member","14","3","8.39","2.4430"
"10","3","Member","18","3","8.16","1.8148"
"10","3","Member","17","3","8.81","1.6205"
"11","1","Anchor","5","2","11.45","0.0000"
"11","1","Member","7","2","9.86","0.8925"
"11","1","Member","8","2","9.92","1.3160"
"11","2","Anchor","15","3","10.53","0.0000"
"11","2","Member","14","3","9.81","1.9110"
"11","2","Member","17","3","7.11","2.6618"
"11","2","Member","18","3","9.36","1.6100"
"11","3","Anchor","12","1","9.75","0.0000"
"11","3","Member","6","1","7.50","2.3468"
"11","3","Member","13","1","6.86","0.7385"
"11","3","Member","9","1","6.19","1.4105"
"12","1","Anchor","5","2","11.38","0.0000"
"12","1","Member","8","2","9.71","0.7648"
"12","1","Member","7","2","8.52","2.4465"
"12","1","Member","4","2","9.42","1.5873"
"12","2","Anchor","12","1","10.38","0.0000"
"12","2","Member","6","1","9.86","2.1018"
"12","2","Member","9","1","9.81","1.1707"
"12","3","Anchor","15","3","9.25","0.0000"
"12","3","Member","14","3","8.48","1.2565"
"12","3","Member","18","3","7.43","1.5995"
"12","3","Member","17","3","8.70","1.0220"
"13","1","Anchor","15","3","11.19","0.0000"
"13","1","Member","17","3","10.22","1.9075"
"13","1","Member","14","3","9.74","1.5820"
"13","1","Member","18","3","8.73","2.7965"
"13","2","Anchor","12","1","10.16","0.0000"
"13","2","Member","13","1","8.89","0.7630"
"13","2","Member","9","1","7.83","2.0002"
"13","2","Member","6","1","6.81","1.6345"
"13","3","Anchor","5","2","9.03","0.0000"
"13","3","Member","4","2","7.19","2.0125"
"13","3","Member","7","2","6.35","1.0168"
"13","3","Member","8","2","6.83","2.2907"
"14","1","Anchor","12","1","11.29","0.0000"
"14","1","Member","6","1","9.14","2.8823"
"14","1","Member","9","1","10.36","1.5085"
"14","1","Member","13","1","8.86","1.6625"
"14","2","Anchor","15","3","10.31","0.0000"
"14","2","Member","18","3","9.30","1.3248"
"14","2","Member","17","3","9.84","1.8795"
"14","2","Member","14","3","9.27","2.0125"
"14","3","Anchor","5","2","9.34","0.0000"
"14","3","Member","8","2","7.43","1.2512"
"14","3","Member","7","2","7.69","2.4290"
"15","1","Anchor","12","1","11.25","0.0000"
"15","1","Member","13","1","8.34","2.0160"
"15","1","Member","6","1","9.38","0.9275"
"15","1","Member","9","1","9.69","0.9835"
"15","2","Anchor","5","2","10.17","0.0000"
"15","2","Member","7","2","8.41","2.8140"
"15","2","Member","8","2","8.53","1.5470"
"15","3","Anchor","15","3","9.02","0.0000"
"15","3","Member","14","3","6.92","0.8137"
"15","3","Member","18","3","7.52","1.4997"
"15","3","Member","17","3","7.83","0.9258"
"16","1","Anchor","15","3","11.54","0.0000"
"16","1","Member","14","3","6.84","0.8417"
"16","1","Member","17","3","9.97","0.6965"
"16","1","Member","18","3","10.80","2.8035"
"16","2","Anchor","5","2","10.64","0.0000"
"16","2","Member","7","2","9.64","0.8855"
